t,est_vx_w,est_vy_w,est_vz_w,gt_vx_w,gt_vy_w,gt_vz_w,est_vx_b,est_vy_b,est_vz_b,gt_vx_b,gt_vy_b,gt_vz_b
9.85,0.20507857203483582,0.23356199264526367,0.02673746459186077,0.09362354874610901,-0.0005583296879194677,-0.05263257771730423,0.1988033652305603,0.23777024447917938,0.035578783601522446,0.09452027108731471,0.002874529398041391,-0.050926655917103957
9.854999999999999,0.21127021312713623,0.2435174286365509,0.03521204739809036,0.08865267783403397,-0.013798297382891178,-0.05267781764268875,0.20487715303897858,0.24768123030662537,0.043070774525403976,0.08976354630731732,-0.010730763043170922,-0.051497565459910445
9.86,0.1923522651195526,0.19752606749534607,0.03223591297864914,0.0841907411813736,-0.026741551235318184,-0.05392787605524063,0.18727053701877594,0.20132699608802795,0.03810883313417435,0.08553277595615623,-0.023938360446291416,-0.05312726621669052
9.864999999999998,0.17148147523403168,0.1486494541168213,0.027881784364581108,0.08610152453184128,-0.022254735231399536,-0.03909613564610481,0.16770294308662415,0.15205755829811096,0.03215853497385979,0.0870753076107764,-0.019765820351077667,-0.03826822101182883
9.87,0.14271409809589386,0.08125843107700348,-0.0030562125612050295,0.08613547682762146,-0.02375083975493908,-0.029470127075910568,0.14089751243591309,0.08442375063896179,-0.000326115230564028,0.08698603307459553,-0.021470518748598066,-0.028711635651732157
9.875,0.12382117658853531,0.04215063899755478,-0.012106521055102348,0.08769213408231735,-0.026795322075486183,-0.019581981003284454,0.12299691140651703,0.04497475177049637,-0.01019606739282608,0.08847407965770869,-0.02465060617488492,-0.018868982198724304
9.879999999999999,0.11922156810760498,0.03328852355480194,-0.015124534256756306,0.09032004326581955,-0.029982397332787514,-0.009325248189270496,0.11862701177597046,0.03605008125305176,-0.013367216102778912,0.09105500340306416,-0.027898183662201568,-0.008619299448742183
9.885,0.10573417693376541,0.012402434833347797,-0.011358557268977165,0.09399276971817017,-0.0322226919233799,-0.0003114923310931772,0.10556034743785858,0.014798451215028763,-0.010028584860265255,0.09466568585977844,-0.03018746429967583,0.0004056864215479105
9.889999999999999,0.09064196050167084,-0.006340359803289175,-0.009955650195479393,0.09734641760587692,-0.034486074000597,0.007693178486078978,0.09086200594902039,-0.004301469773054123,-0.008992944844067097,0.09797126753311429,-0.032484816025527025,0.00843604064355795
9.895,0.07597678899765015,-0.025978034362196922,-0.004273206926882267,0.09964102506637573,-0.03689061105251312,0.01429771725088358,0.07655542343854904,-0.024319883435964584,-0.003660903312265873,0.10023330767473114,-0.03492685123829535,0.015069003741892541
9.899999999999999,0.06365209072828293,-0.04219115525484085,0.0012619217159226537,0.1007244884967804,-0.039513759315013885,0.019267810508608818,0.06450961530208588,-0.0408567376434803,0.0015845632879063487,0.10130192241408288,-0.037595544257958795,0.020062498531984586
9.905,0.05428310111165047,-0.055500492453575134,0.0035987747833132744,0.09980729222297668,-0.04235164448618889,0.020533274859189987,0.05538792535662651,-0.05439227074384689,0.003683687187731266,0.10041368052492902,-0.04048380710369175,0.021329014834349177
9.909999999999998,0.04773610830307007,-0.06500640511512756,0.005167902912944555,0.09805379807949066,-0.04516023397445679,0.02074573002755642,0.04901210591197014,-0.06405723839998245,0.0050754239782691,0.09869937215937172,-0.043349964365921145,0.021531230563727185
9.915,0.043402865529060364,-0.07119955122470856,0.00657425494864583,0.09583892673254013,-0.047868404537439346,0.02041354961693287,0.04477863013744354,-0.07036235928535461,0.006357505451887846,0.09652778373921617,-0.04611929521102653,0.02118005226255764
9.92,0.03692830353975296,-0.0807148665189743,0.010969026014208794,0.09329046308994293,-0.050450555980205536,0.019666211679577827,0.03842775896191597,-0.08006840944290161,0.01054824236780405,0.0940256884172691,-0.04876393288967805,0.020405336327849834
